Distance_from,distance,State
Distance from Arkansas to New York,1675,Arkansas
"Distance from Washington, D.C. to New York",328,"Washington, D.C."
Distance from Delaware to New York,239,Delaware
Distance from Florida to New York,1605,Florida
Distance from Georgia to New York,1238,Georgia
Distance from Kansas to New York,2091,Kansas
Distance from Louisiana to New York,1941,Louisiana
Distance from Maryland to New York,291,Maryland
Distance from Missouri to New York,1560,Missouri
Distance from Mississippi to New York,1656,Mississippi
Distance from North Carolina to New York,703,North Carolina
Distance from Oklahoma to New York,2117,Oklahoma
Distance from South Carolina to New York,992,South Carolina
Distance from Tennessee to New York,1241,Tennessee
Distance from Texas to New York,2503,Texas
Distance from West Virginia to New York,600,West Virginia
Distance from Alabama to New York,1480,Alabama
Distance from Connecticut to New York,125,Connecticut
Distance from Iowa to New York,1597,Iowa
Distance from Illinois to New York,1296,Illinois
Distance from Indiana to New York,1026,Indiana
Distance from Maine to New York,626,Maine
Distance from Michigan to New York,1030,Michigan
Distance from Minnesota to New York,1785,Minnesota
Distance from Nebraska to New York,2163,Nebraska
Distance from New Hampshire to New York,341,New Hampshire
Distance from New Jersey to New York,80,New Jersey
Distance from New York to Ohio,752,Ohio
Distance from New York to Rhode Island,233,Rhode Island
Distance from New York to Vermont,443,Vermont
Distance from New York to Wisconsin,1262,Wisconsin
Distance from New York to California,3919,California
Distance from New York to Colorado,2690,Colorado
Distance from New York to New Mexico,2873,New Mexico
Distance from New York to Nevada,3596,Nevada
Distance from New York to Utah,3139,Utah
Distance from New York to Arizona,3334,Arizona
Distance from New York to Idaho,3332,Idaho
Distance from New York to Montana,2969,Montana
Distance from New York to North Dakota,2271,North Dakota
Distance from New York to Oregon,3796,Oregon
Distance from New York to South Dakota,2150,South Dakota
